"","county","county_fips","state","fips","county_population","health_service_area_number","health_service_area","health_service_area_population"
"2700","Hampshire County",25015,"Massachusetts",25015,"160,830",32,"Hampden (Springfield), MA - Hampshire, MA","627,202"
"2701","Ritchie County",54085,"West Virginia",54085,"9,554",34,"Wood (Parkersburg), WV - Washington, OH","215,637"
"2702","Wirt County",54105,"West Virginia",54105,"5,821",34,"Wood (Parkersburg), WV - Washington, OH","215,637"
"2703","Wood County",54107,"West Virginia",54107,"83,518",34,"Wood (Parkersburg), WV - Washington, OH","215,637"
"2704","Calhoun County",54013,"West Virginia",54013,"7,109",34,"Wood (Parkersburg), WV - Washington, OH","215,637"
"2705","Jackson County",54035,"West Virginia",54035,"28,576",34,"Wood (Parkersburg), WV - Washington, OH","215,637"
"2706","Washington County",39167,"Ohio",39167,"59,911",34,"Wood (Parkersburg), WV - Washington, OH","215,637"
"2707","Pleasants County",54073,"West Virginia",54073,"7,460",34,"Wood (Parkersburg), WV - Washington, OH","215,637"
"2708","Roane County",54087,"West Virginia",54087,"13,688",34,"Wood (Parkersburg), WV - Washington, OH","215,637"
"2709","Indiana County",42063,"Pennsylvania",42063,"84,073",42,"Allegheny (Pittsburgh), PA - Westmoreland, PA","2,065,534"
"2710","Westmoreland County",42129,"Pennsylvania",42129,"348,899",42,"Allegheny (Pittsburgh), PA - Westmoreland, PA","2,065,534"
"2711","Allegheny County",42003,"Pennsylvania",42003,"1,216,045",42,"Allegheny (Pittsburgh), PA - Westmoreland, PA","2,065,534"
"2712","Armstrong County",42005,"Pennsylvania",42005,"64,735",42,"Allegheny (Pittsburgh), PA - Westmoreland, PA","2,065,534"
"2713","Beaver County",42007,"Pennsylvania",42007,"163,929",42,"Allegheny (Pittsburgh), PA - Westmoreland, PA","2,065,534"
"2714","Butler County",42019,"Pennsylvania",42019,"187,853",42,"Allegheny (Pittsburgh), PA - Westmoreland, PA","2,065,534"
"2715","Cumberland County",42041,"Pennsylvania",42041,"253,370",43,"Dauphin (Harrisburg), PA - Cumberland, PA","719,734"
"2716","Lebanon County",42075,"Pennsylvania",42075,"141,793",43,"Dauphin (Harrisburg), PA - Cumberland, PA","719,734"
"2717","Perry County",42099,"Pennsylvania",42099,"46,272",43,"Dauphin (Harrisburg), PA - Cumberland, PA","719,734"
"2718","Dauphin County",42043,"Pennsylvania",42043,"278,299",43,"Dauphin (Harrisburg), PA - Cumberland, PA","719,734"
"2719","Pocahontas County",54075,"West Virginia",54075,"8,247",50,"Randolph, WV - Barbour, WV","60,222"
"2720","Randolph County",54083,"West Virginia",54083,"28,695",50,"Randolph, WV - Barbour, WV","60,222"
"2721","Tucker County",54093,"West Virginia",54093,"6,839",50,"Randolph, WV - Barbour, WV","60,222"
"2722","Barbour County",54001,"West Virginia",54001,"16,441",50,"Randolph, WV - Barbour, WV","60,222"
"2723","Page County",51139,"Virginia",51139,"23,902",63,"Rockingham, VA - Harrisonburg City, VA","165,835"
"2724","Harrisonburg City",51660,"Virginia",51660,"53,016",63,"Rockingham, VA - Harrisonburg City, VA","165,835"
"2725","Rockingham County",51165,"Virginia",51165,"81,948",63,"Rockingham, VA - Harrisonburg City, VA","165,835"
"2726","Pendleton County",54071,"West Virginia",54071,"6,969",63,"Rockingham, VA - Harrisonburg City, VA","165,835"
"2727","Menifee County",21165,"Kentucky",21165,"6,489",67,"Rowan, KY - Morgan, KY","51,775"
"2728","Morgan County",21175,"Kentucky",21175,"13,309",67,"Rowan, KY - Morgan, KY","51,775"
"2729","Rowan County",21205,"Kentucky",21205,"24,460",67,"Rowan, KY - Morgan, KY","51,775"
"2730","Elliott County",21063,"Kentucky",21063,"7,517",67,"Rowan, KY - Morgan, KY","51,775"
"2731","Richmond County",36085,"New York",36085,"476,143",94,"Kings (New York), NY - Queens, NY","8,336,817"
"2732","Kings County",36047,"New York",36047,"2,559,903",94,"Kings (New York), NY - Queens, NY","8,336,817"
"2733","New York County",36061,"New York",36061,"1,628,706",94,"Kings (New York), NY - Queens, NY","8,336,817"
"2734","Bronx County",36005,"New York",36005,"1,418,207",94,"Kings (New York), NY - Queens, NY","8,336,817"
"2735","Queens County",36081,"New York",36081,"2,253,858",94,"Kings (New York), NY - Queens, NY","8,336,817"
"2736","Bell County",21013,"Kentucky",21013,"26,032",96,"Harlan, KY - Bell, KY","84,001"
"2737","Harlan County",21095,"Kentucky",21095,"26,010",96,"Harlan, KY - Bell, KY","84,001"
"2738","Claiborne County",47025,"Tennessee",47025,"31,959",96,"Harlan, KY - Bell, KY","84,001"
"2739","Caledonia County",50005,"Vermont",50005,"29,993",103,"Caledonia, VT - Orleans, VT","82,392"
"2740","Lamoille County",50015,"Vermont",50015,"25,362",103,"Caledonia, VT - Orleans, VT","82,392"
"2741","Orleans County",50019,"Vermont",50019,"27,037",103,"Caledonia, VT - Orleans, VT","82,392"
"2742","Talbot County",24041,"Maryland",24041,"37,181",107,"Queen Annes, MD - Talbot, MD","152,897"
"2743","Caroline County",24011,"Maryland",24011,"33,406",107,"Queen Annes, MD - Talbot, MD","152,897"
"2744","Dorchester County",24019,"Maryland",24019,"31,929",107,"Queen Annes, MD - Talbot, MD","152,897"
"2745","Queen Anne's County",24035,"Maryland",24035,"50,381",107,"Queen Annes, MD - Talbot, MD","152,897"
"2746","Owen County",21187,"Kentucky",21187,"10,901",114,"Franklin, KY - Anderson, KY","84,639"
"2747","Franklin County",21073,"Kentucky",21073,"50,991",114,"Franklin, KY - Anderson, KY","84,639"
"2748","Anderson County",21005,"Kentucky",21005,"22,747",114,"Franklin, KY - Anderson, KY","84,639"
"2749","Benton County",47005,"Tennessee",47005,"16,160",115,"Calloway, KY - Henry, TN","115,273"
"2750","Carroll County",47017,"Tennessee",47017,"27,767",115,"Calloway, KY - Henry, TN","115,273"
"2751","Henry County",47079,"Tennessee",47079,"32,345",115,"Calloway, KY - Henry, TN","115,273"
"2752","Calloway County",21035,"Kentucky",21035,"39,001",115,"Calloway, KY - Henry, TN","115,273"
"2753","Lawrence County",42073,"Pennsylvania",42073,"85,512",129,"Lawrence, PA","85,512"
"2754","Caroline County",51033,"Virginia",51033,"30,725",135,"Stafford, VA - Spotsylvania, VA","375,694"
"2755","Spotsylvania County",51177,"Virginia",51177,"136,215",135,"Stafford, VA - Spotsylvania, VA","375,694"
"2756","King George County",51099,"Virginia",51099,"26,836",135,"Stafford, VA - Spotsylvania, VA","375,694"
"2757","Stafford County",51179,"Virginia",51179,"152,882",135,"Stafford, VA - Spotsylvania, VA","375,694"
"2758","Fredericksburg City",51630,"Virginia",51630,"29,036",135,"Stafford, VA - Spotsylvania, VA","375,694"
"2759","Aroostook County",23003,"Maine",23003,"67,055",136,"Aroostook, ME","67,055"
"2760","Davidson County",47037,"Tennessee",47037,"694,144",148,"Davidson (Nashville-Davidson), TN - Williamson, TN","1,142,744"
"2761","Humphreys County",47085,"Tennessee",47085,"18,582",148,"Davidson (Nashville-Davidson), TN - Williamson, TN","1,142,744"
"2762","Cheatham County",47021,"Tennessee",47021,"40,667",148,"Davidson (Nashville-Davidson), TN - Williamson, TN","1,142,744"
"2763","Dickson County",47043,"Tennessee",47043,"53,948",148,"Davidson (Nashville-Davidson), TN - Williamson, TN","1,142,744"
"2764","Hickman County",47081,"Tennessee",47081,"25,178",148,"Davidson (Nashville-Davidson), TN - Williamson, TN","1,142,744"
"2765","Robertson County",47147,"Tennessee",47147,"71,813",148,"Davidson (Nashville-Davidson), TN - Williamson, TN","1,142,744"
"2766","Williamson County",47187,"Tennessee",47187,"238,412",148,"Davidson (Nashville-Davidson), TN - Williamson, TN","1,142,744"
"2767","Forsyth County",37067,"North Carolina",37067,"382,295",149,"Forsyth (Winston-Salem), NC - Surry, NC","580,182"
"2768","Stokes County",37169,"North Carolina",37169,"45,591",149,"Forsyth (Winston-Salem), NC - Surry, NC","580,182"
"2769","Surry County",37171,"North Carolina",37171,"71,783",149,"Forsyth (Winston-Salem), NC - Surry, NC","580,182"
"2770","Yadkin County",37197,"North Carolina",37197,"37,667",149,"Forsyth (Winston-Salem), NC - Surry, NC","580,182"
"2771","Davie County",37059,"North Carolina",37059,"42,846",149,"Forsyth (Winston-Salem), NC - Surry, NC","580,182"
"2772","Russell County",1113,"Alabama",1113,"57,961",166,"Muscogee (Columbus), GA - Russell, AL","328,912"
"2773","Schley County",13249,"Georgia",13249,"5,257",166,"Muscogee (Columbus), GA - Russell, AL","328,912"
"2774","Talbot County",13263,"Georgia",13263,"6,195",166,"Muscogee (Columbus), GA - Russell, AL","328,912"
"2775","Webster County",13307,"Georgia",13307,"2,607",166,"Muscogee (Columbus), GA - Russell, AL","328,912"
"2776","Marion County",13197,"Georgia",13197,"8,359",166,"Muscogee (Columbus), GA - Russell, AL","328,912"
"2777","Stewart County",13259,"Georgia",13259,"6,621",166,"Muscogee (Columbus), GA - Russell, AL","328,912"
"2778","Chattahoochee County",13053,"Georgia",13053,"10,907",166,"Muscogee (Columbus), GA - Russell, AL","328,912"
"2779","Harris County",13145,"Georgia",13145,"35,236",166,"Muscogee (Columbus), GA - Russell, AL","328,912"
"2780","Muscogee County",13215,"Georgia",13215,"195,769",166,"Muscogee (Columbus), GA - Russell, AL","328,912"
"2781","Chambers County",1017,"Alabama",1017,"33,254",172,"Coweta, GA - Troup (La Grange), GA","307,497"
"2782","Coweta County",13077,"Georgia",13077,"148,509",172,"Coweta, GA - Troup (La Grange), GA","307,497"
"2783","Meriwether County",13199,"Georgia",13199,"21,167",172,"Coweta, GA - Troup (La Grange), GA","307,497"
"2784","Troup County",13285,"Georgia",13285,"69,922",172,"Coweta, GA - Troup (La Grange), GA","307,497"
"2785","Heard County",13149,"Georgia",13149,"11,923",172,"Coweta, GA - Troup (La Grange), GA","307,497"
"2786","Hardin County",47071,"Tennessee",47071,"25,652",245,"Hardin, TN - McNairy, TN","51,346"
"2787","Randolph County",1111,"Alabama",1111,"22,722",172,"Coweta, GA - Troup (La Grange), GA","307,497"
"2788","Bacon County",13005,"Georgia",13005,"11,164",174,"Ware, GA - Pierce, GA","72,981"
"2789","Ware County",13299,"Georgia",13299,"35,734",174,"Ware, GA - Pierce, GA","72,981"
"2790","Clinch County",13065,"Georgia",13065,"6,618",174,"Ware, GA - Pierce, GA","72,981"
"2791","Pierce County",13229,"Georgia",13229,"19,465",174,"Ware, GA - Pierce, GA","72,981"
"2792","Laurens County",45059,"South Carolina",45059,"67,493",187,"Laurens, SC - Greenwood, SC","192,767"
"2793","McCormick County",45065,"South Carolina",45065,"9,463",187,"Laurens, SC - Greenwood, SC","192,767"
"2794","Saluda County",45081,"South Carolina",45081,"20,473",187,"Laurens, SC - Greenwood, SC","192,767"
"2795","Abbeville County",45001,"South Carolina",45001,"24,527",187,"Laurens, SC - Greenwood, SC","192,767"
"2796","Greenwood County",45047,"South Carolina",45047,"70,811",187,"Laurens, SC - Greenwood, SC","192,767"
"2797","Alexander County",37003,"North Carolina",37003,"37,497",192,"Iredell (Statesville), NC - Alexander, NC","219,303"
"2798","Iredell County",37097,"North Carolina",37097,"181,806",192,"Iredell (Statesville), NC - Alexander, NC","219,303"
"2799","Robeson County",37155,"North Carolina",37155,"130,625",207,"Robeson, NC - Columbus, NC","253,678"
"2800","Scotland County",37165,"North Carolina",37165,"34,823",207,"Robeson, NC - Columbus, NC","253,678"
"2801","Bladen County",37017,"North Carolina",37017,"32,722",207,"Robeson, NC - Columbus, NC","253,678"
"2802","Columbus County",37047,"North Carolina",37047,"55,508",207,"Robeson, NC - Columbus, NC","253,678"
"2803","Madison County",1089,"Alabama",1089,"372,909",210,"Madison (Huntsville), AL - Limestone, AL","557,816"
"2804","Jackson County",1071,"Alabama",1071,"51,626",210,"Madison (Huntsville), AL - Limestone, AL","557,816"
"2805","Lincoln County",47103,"Tennessee",47103,"34,366",210,"Madison (Huntsville), AL - Limestone, AL","557,816"
"2806","Limestone County",1083,"Alabama",1083,"98,915",210,"Madison (Huntsville), AL - Limestone, AL","557,816"
"2807","Dorchester County",45035,"South Carolina",45035,"162,809",212,"Charleston (Charleston), SC - Berkeley, SC","859,021"
"2808","Hampton County",45049,"South Carolina",45049,"19,222",212,"Charleston (Charleston), SC - Berkeley, SC","859,021"
"2809","Berkeley County",45015,"South Carolina",45015,"227,907",212,"Charleston (Charleston), SC - Berkeley, SC","859,021"
"2810","Charleston County",45019,"South Carolina",45019,"411,406",212,"Charleston (Charleston), SC - Berkeley, SC","859,021"
"2811","Colleton County",45029,"South Carolina",45029,"37,677",212,"Charleston (Charleston), SC - Berkeley, SC","859,021"
"2812","Etowah County",1055,"Alabama",1055,"102,268",224,"Etowah (Gadsden), AL - Marshall, AL","296,751"
"2813","Marshall County",1095,"Alabama",1095,"96,774",224,"Etowah (Gadsden), AL - Marshall, AL","296,751"
"2814","DeKalb County",1049,"Alabama",1049,"71,513",224,"Etowah (Gadsden), AL - Marshall, AL","296,751"
"2815","Cherokee County",1019,"Alabama",1019,"26,196",224,"Etowah (Gadsden), AL - Marshall, AL","296,751"
"2816","Caldwell County",37027,"North Carolina",37027,"82,178",229,"Catawba (Hickory), NC - Burke, NC","332,214"
"2817","Burke County",37023,"North Carolina",37023,"90,485",229,"Catawba (Hickory), NC - Burke, NC","332,214"
"2818","Catawba County",37035,"North Carolina",37035,"159,551",229,"Catawba (Hickory), NC - Burke, NC","332,214"
"2819","Grundy County",47061,"Tennessee",47061,"13,427",239,"Coffee, TN - Franklin, TN","118,643"
"2820","Moore County",47127,"Tennessee",47127,"6,488",239,"Coffee, TN - Franklin, TN","118,643"
"2821","Coffee County",47031,"Tennessee",47031,"56,520",239,"Coffee, TN - Franklin, TN","118,643"
"2822","Franklin County",47051,"Tennessee",47051,"42,208",239,"Coffee, TN - Franklin, TN","118,643"
"2823","York County",45091,"South Carolina",45091,"280,979",244,"York (Rock Hill), SC - Chester, SC","313,223"
"2824","Chester County",45023,"South Carolina",45023,"32,244",244,"York (Rock Hill), SC - Chester, SC","313,223"
"2825","McNairy County",47109,"Tennessee",47109,"25,694",245,"Hardin, TN - McNairy, TN","51,346"
"2826","Jefferson County",13163,"Georgia",13163,"15,362",250,"Washington, GA - Jefferson, GA","35,736"
"2827","Washington County",13303,"Georgia",13303,"20,374",250,"Washington, GA - Jefferson, GA","35,736"
"2828","Cocke County",47029,"Tennessee",47029,"36,004",252,"Greene, TN - Cocke, TN","105,073"
"2829","Greene County",47059,"Tennessee",47059,"69,069",252,"Greene, TN - Cocke, TN","105,073"
"2830","Cumberland County",37051,"North Carolina",37051,"335,509",262,"Cumberland (Fayetteville), NC - Sampson, NC","399,040"
"2831","Sampson County",37163,"North Carolina",37163,"63,531",262,"Cumberland (Fayetteville), NC - Sampson, NC","399,040"
"2832","Scott County",47151,"Tennessee",47151,"22,068",263,"Scott, TN","22,068"
"2833","Pasquotank County",37139,"North Carolina",37139,"39,824",264,"Pasquotank, NC - Dare, NC","101,163"
"2834","Camden County",37029,"North Carolina",37029,"10,867",264,"Pasquotank, NC - Dare, NC","101,163"
"2835","Perquimans County",37143,"North Carolina",37143,"13,463",264,"Pasquotank, NC - Dare, NC","101,163"
"2836","Dare County",37055,"North Carolina",37055,"37,009",264,"Pasquotank, NC - Dare, NC","101,163"
"2837","Wabash County",17185,"Illinois",17185,"11,520",273,"Vanderburgh (Evansville), IN - Warrick, IN","335,332"
"2838","Vanderburgh County",18163,"Indiana",18163,"181,451",273,"Vanderburgh (Evansville), IN - Warrick, IN","335,332"
"2839","Warrick County",18173,"Indiana",18173,"62,998",273,"Vanderburgh (Evansville), IN - Warrick, IN","335,332"
"2840","Gibson County",18051,"Indiana",18051,"33,659",273,"Vanderburgh (Evansville), IN - Warrick, IN","335,332"
"2841","Posey County",18129,"Indiana",18129,"25,427",273,"Vanderburgh (Evansville), IN - Warrick, IN","335,332"
"2842","Spencer County",18147,"Indiana",18147,"20,277",273,"Vanderburgh (Evansville), IN - Warrick, IN","335,332"
"2843","DuPage County",17043,"Illinois",17043,"922,921",287,"Cook (Chicago), IL - DuPage, IL","7,077,463"
"2844","McHenry County",17111,"Illinois",17111,"307,774",287,"Cook (Chicago), IL - DuPage, IL","7,077,463"
"2845","Cook County",17031,"Illinois",17031,"5,150,233",287,"Cook (Chicago), IL - DuPage, IL","7,077,463"
"2846","Lake County",17097,"Illinois",17097,"696,535",287,"Cook (Chicago), IL - DuPage, IL","7,077,463"
"2847","Grant County",55043,"Wisconsin",55043,"51,439",301,"Dane (Madison), WI - Sauk, WI","776,612"
"2848","Iowa County",55049,"Wisconsin",55049,"23,678",301,"Dane (Madison), WI - Sauk, WI","776,612"
"2849","Marquette County",55077,"Wisconsin",55077,"15,574",301,"Dane (Madison), WI - Sauk, WI","776,612"
"2850","Richland County",55103,"Wisconsin",55103,"17,252",301,"Dane (Madison), WI - Sauk, WI","776,612"
"2851","Columbia County",55021,"Wisconsin",55021,"57,532",301,"Dane (Madison), WI - Sauk, WI","776,612"
"2852","Dane County",55025,"Wisconsin",55025,"546,695",301,"Dane (Madison), WI - Sauk, WI","776,612"
"2853","Sauk County",55111,"Wisconsin",55111,"64,442",301,"Dane (Madison), WI - Sauk, WI","776,612"
"2854","Whitley County",18183,"Indiana",18183,"33,964",304,"Allen (Fort Wayne), IN - Noble, IN","578,690"
"2855","Allen County",18003,"Indiana",18003,"379,299",304,"Allen (Fort Wayne), IN - Noble, IN","578,690"
"2856","DeKalb County",18033,"Indiana",18033,"43,475",304,"Allen (Fort Wayne), IN - Noble, IN","578,690"
"2857","LaGrange County",18087,"Indiana",18087,"39,614",304,"Allen (Fort Wayne), IN - Noble, IN","578,690"
"2858","Steuben County",18151,"Indiana",18151,"34,594",304,"Allen (Fort Wayne), IN - Noble, IN","578,690"
"2859","Noble County",18113,"Indiana",18113,"47,744",304,"Allen (Fort Wayne), IN - Noble, IN","578,690"
"2860","Daviess County",18027,"Indiana",18027,"33,351",310,"Knox, IN - Daviess, IN","126,934"
"2861","Knox County",18083,"Indiana",18083,"36,594",310,"Knox, IN - Daviess, IN","126,934"
"2862","Lawrence County",17101,"Illinois",17101,"15,678",310,"Knox, IN - Daviess, IN","126,934"
"2863","Martin County",18101,"Indiana",18101,"10,255",310,"Knox, IN - Daviess, IN","126,934"
"2864","Pike County",18125,"Indiana",18125,"12,389",310,"Knox, IN - Daviess, IN","126,934"
"2865","Crawford County",17033,"Illinois",17033,"18,667",310,"Knox, IN - Daviess, IN","126,934"
"2866","Osceola County",26133,"Michigan",26133,"23,460",317,"Wexford, MI - Osceola, MI","84,062"
"2867","Missaukee County",26113,"Michigan",26113,"15,118",317,"Wexford, MI - Osceola, MI","84,062"
"2868","Wexford County",26165,"Michigan",26165,"33,631",317,"Wexford, MI - Osceola, MI","84,062"
"2869","Lake County",26085,"Michigan",26085,"11,853",317,"Wexford, MI - Osceola, MI","84,062"
"2870","Ottawa County",26139,"Michigan",26139,"291,830",320,"Ottawa (Holland), MI - Allegan, MI","409,911"
"2871","Allegan County",26005,"Michigan",26005,"118,081",320,"Ottawa (Holland), MI - Allegan, MI","409,911"
"2872","Ripley County",18137,"Indiana",18137,"28,324",321,"Dearborn, IN - Jefferson (Madison), IN","145,818"
"2873","Switzerland County",18155,"Indiana",18155,"10,751",321,"Dearborn, IN - Jefferson (Madison), IN","145,818"
"2874","Dearborn County",18029,"Indiana",18029,"49,458",321,"Dearborn, IN - Jefferson (Madison), IN","145,818"
"2875","Carroll County",21041,"Kentucky",21041,"10,631",321,"Dearborn, IN - Jefferson (Madison), IN","145,818"
"2876","Jefferson County",18077,"Indiana",18077,"32,308",321,"Dearborn, IN - Jefferson (Madison), IN","145,818"
"2877","Ohio County",18115,"Indiana",18115,"5,875",321,"Dearborn, IN - Jefferson (Madison), IN","145,818"
"2878","Trimble County",21223,"Kentucky",21223,"8,471",321,"Dearborn, IN - Jefferson (Madison), IN","145,818"
"2879","Williamson County",17199,"Illinois",17199,"66,597",331,"Williamson, IL - Jackson, IL","182,732"
"2880","Franklin County",17055,"Illinois",17055,"38,469",331,"Williamson, IL - Jackson, IL","182,732"
